Criptomoneda,Fecha,Precio,Mercado,Volumen,Año,Mes,Mes_Nombre,Día,Día_Semana,Hora
bitcoin,2018-08-25 19:00:00,6736.036057516459,116073397012.0424,5280060347.564506,2018,8,08 Agosto,25,6 Sábado,19
bitcoin,2018-08-26 19:00:00,6728.2880026290095,115406552890.99017,5215045899.16829,2018,8,08 Agosto,26,7 Domingo,19
bitcoin,2018-08-27 19:00:00,6911.096028949572,118546009735.9248,5444349729.346103,2018,8,08 Agosto,27,1 Lunes,19
bitcoin,2018-08-28 19:00:00,7075.9834051051,121992306938.18849,6246602891.545194,2018,8,08 Agosto,28,2 Martes,19
bitcoin,2018-08-29 19:00:00,7046.748947280631,121479639297.29665,5976493148.705724,2018,8,08 Agosto,29,3 Miércoles,19
bitcoin,2018-08-30 19:00:00,7024.14510718162,121103237785.70247,6587864491.268964,2018,8,08 Agosto,30,4 Jueves,19
bitcoin,2018-08-31 19:00:00,7027.631279401852,121186316787.30235,5959884320.762271,2018,8,08 Agosto,31,5 Viernes,19
bitcoin,2018-09-01 19:00:00,7211.270767868822,124380655386.09407,6257915213.839819,2018,9,09 Septiembre,1,6 Sábado,19
bitcoin,2018-09-02 19:00:00,7305.272801003753,125994361368.72597,6640164154.549976,2018,9,09 Septiembre,2,7 Domingo,19
bitcoin,2018-09-03 19:00:00,7260.897516647864,125200923805.39091,4511643009.568316,2018,9,09 Septiembre,3,1 Lunes,19
bitcoin,2018-09-04 19:00:00,7359.462992923027,126949626755.787,5344233220.454348,2018,9,09 Septiembre,4,2 Martes,19
bitcoin,2018-09-05 19:00:00,6764.926773778225,116602093876.15263,7036065651.078336,2018,9,09 Septiembre,5,3 Miércoles,19
bitcoin,2018-09-06 19:00:00,6498.2796126096555,112034863191.16696,6558109770.577363,2018,9,09 Septiembre,6,4 Jueves,19
bitcoin,2018-09-07 19:00:00,6397.81887024023,110396118506.89438,4422971841.981781,2018,9,09 Septiembre,7,5 Viernes,19
bitcoin,2018-09-08 19:00:00,6181.19445075213,106668555553.51491,3851077568.004001,2018,9,09 Septiembre,8,6 Sábado,19
bitcoin,2018-09-09 19:00:00,6260.764806062476,108219061918.52274,4174629547.594032,2018,9,09 Septiembre,9,7 Domingo,19
bitcoin,2018-09-10 19:00:00,6308.135474616629,108846231385.41852,4504626593.565221,2018,9,09 Septiembre,10,1 Lunes,19
bitcoin,2018-09-11 19:00:00,6278.917069628559,108449181464.89592,5001529025.0324745,2018,9,09 Septiembre,11,2 Martes,19
bitcoin,2018-09-12 19:00:00,6330.574238022664,109298582014.21779,5026516732.831187,2018,9,09 Septiembre,12,3 Miércoles,19
