Criptomoneda,Fecha,Precio
bitcoin,2023-08-21 09:35:38.302,678601773.4503186
bitcoin,2023-08-21 09:40:48.913,678668258.0382361
bitcoin,2023-08-21 09:45:25.531,679647620.0185281
bitcoin,2023-08-21 09:50:52.601,679398923.9855717
bitcoin,2023-08-21 09:55:11.053,679353251.9335564
bitcoin,2023-08-21 10:01:07.279,679138188.1465611
bitcoin,2023-08-21 10:05:55.391,679295158.4977019
bitcoin,2023-08-21 10:10:10.911,678689637.085057
bitcoin,2023-08-21 10:15:40.795,678241539.6010665
bitcoin,2023-08-21 10:20:59.548,678310891.0042273
bitcoin,2023-08-21 10:25:58.643,677792595.8343173
bitcoin,2023-08-21 10:30:15.212,673148388.079062
bitcoin,2023-08-21 10:35:29.364,674236805.8718916
bitcoin,2023-08-21 10:40:39.427,674247318.2232727
bitcoin,2023-08-21 10:45:47.063,675472147.2467505
bitcoin,2023-08-21 10:50:24.740,674422448.386152
bitcoin,2023-08-21 10:55:53.838,674579804.2632046
bitcoin,2023-08-21 11:01:23.597,674617084.7521411
bitcoin,2023-08-21 11:04:59.253,674686219.3817099
bitcoin,2023-08-21 11:10:38.499,675509366.6694351
bitcoin,2023-08-21 11:15:47.117,675362187.6142381
bitcoin,2023-08-21 11:20:34.593,675515773.2194461
bitcoin,2023-08-21 11:25:43.967,675680120.9118198
bitcoin,2023-08-21 11:31:29.856,675744930.8590798
bitcoin,2023-08-21 11:35:27.802,676213993.9504538
bitcoin,2023-08-21 11:40:34.360,676013436.6488334
bitcoin,2023-08-21 11:45:12.063,675867879.169081
bitcoin,2023-08-21 11:50:50.637,676409743.5324802
bitcoin,2023-08-21 11:54:55.748,677309308.1304524
bitcoin,2023-08-21 12:00:03.890,676423979.54464
bitcoin,2023-08-21 12:05:27.024,676797673.3626924
bitcoin,2023-08-21 12:11:16.576,676585792.0172521
bitcoin,2023-08-21 12:15:23.509,676709239.4765656
bitcoin,2023-08-21 12:20:44.173,676456774.3946182
bitcoin,2023-08-21 12:25:30.727,676535319.9803747
bitcoin,2023-08-21 12:30:51.775,678081786.4514158
bitcoin,2023-08-21 12:35:08.565,678097992.3171664
bitcoin,2023-08-21 12:40:58.327,677825604.4376214
bitcoin,2023-08-21 12:45:47.326,677756216.9338673
bitcoin,2023-08-21 12:50:14.439,677547604.7476069
bitcoin,2023-08-21 12:55:21.653,677368741.9116589
bitcoin,2023-08-21 13:00:37.640,677407564.1512252
bitcoin,2023-08-21 13:05:06.241,677663070.3062799
bitcoin,2023-08-21 13:10:25.904,677253858.7552948
bitcoin,2023-08-21 13:15:44.349,677492014.9560678
bitcoin,2023-08-21 13:21:23.485,677429668.2236879
bitcoin,2023-08-21 13:24:58.409,677642407.616217
bitcoin,2023-08-21 13:30:07.049,677635328.0108395
bitcoin,2023-08-21 13:35:42.430,677542954.4170691
bitcoin,2023-08-21 13:41:11.864,677744936.4780363
bitcoin,2023-08-21 13:44:59.835,677774325.5708257
bitcoin,2023-08-21 13:50:30.956,678224120.3476979
bitcoin,2023-08-21 13:55:18.533,677727879.87725
bitcoin,2023-08-21 14:01:18.867,677187273.1528426
bitcoin,2023-08-21 14:05:26.504,677428249.7562817
bitcoin,2023-08-21 14:10:53.826,677873959.7395229
bitcoin,2023-08-21 14:15:01.024,677766888.1252531
bitcoin,2023-08-21 14:20:30.232,677370083.3355926
bitcoin,2023-08-21 14:25:17.676,678114680.0257833
bitcoin,2023-08-21 14:30:28.223,677871662.3667446
bitcoin,2023-08-21 14:34:56.107,677895496.1442937
bitcoin,2023-08-21 14:41:15.633,678259918.3255587
bitcoin,2023-08-21 14:45:51.947,678449658.6528941
bitcoin,2023-08-21 14:50:30.901,679561690.743517
bitcoin,2023-08-21 14:55:42.238,679048992.0511147
bitcoin,2023-08-21 15:00:55.789,678666677.2354606
bitcoin,2023-08-21 15:05:31.920,679808447.350234
bitcoin,2023-08-21 15:10:58.243,679666202.5671687
bitcoin,2023-08-21 15:15:42.583,679698234.653897
bitcoin,2023-08-21 15:20:09.335,679412035.0160395
bitcoin,2023-08-21 15:25:18.182,679272302.3710418
bitcoin,2023-08-21 15:30:58.704,679582336.8707706
bitcoin,2023-08-21 15:35:36.151,679688425.9965028
bitcoin,2023-08-21 15:40:45.402,678933449.3577479
bitcoin,2023-08-21 15:45:52.928,678858285.2149447
bitcoin,2023-08-21 15:50:29.805,678931932.4936273
bitcoin,2023-08-21 15:55:07.178,679118680.5698216
bitcoin,2023-08-21 16:01:00.199,679091610.3742903
bitcoin,2023-08-21 16:05:28.809,679324093.8917785
bitcoin,2023-08-21 16:10:55.846,679190107.5560951
bitcoin,2023-08-21 16:15:55.605,679320396.4602122
