Criptomoneda,Fecha,Open,High,Low,Close
bitcoin,2023-02-26 19:00:00,23172.286538,23541.115854,23157.038107,23541.115854
bitcoin,2023-02-27 19:00:00,23518.123906,23634.333489,23155.543747,23464.336542
bitcoin,2023-03-06 19:00:00,22367.433022,22421.885806,22348.329915,22415.11366
bitcoin,2023-03-10 19:00:00,22217.209885,22217.209885,20195.22895,20195.22895
bitcoin,2023-03-14 19:00:00,20521.556152,24758.765086,20521.556152,24758.765086
bitcoin,2023-03-18 19:00:00,24470.882054,27466.67783,24470.882054,27107.792184
bitcoin,2023-03-22 19:00:00,28186.842652,28264.239611,27449.254831,27449.254831
bitcoin,2023-03-26 19:00:00,28459.735114,28459.735114,27595.494748,28048.469979
bitcoin,2023-03-30 19:00:00,27182.29956,28394.99778,27182.29956,28041.12308
bitcoin,2023-04-02 19:00:00,28516.78473,28516.78473,28236.508739,28236.508739
bitcoin,2023-04-06 19:00:00,27815.426531,28197.200341,27815.426531,28042.983386
bitcoin,2023-04-10 19:00:00,27934.438713,29657.974137,27934.438713,29657.974137
bitcoin,2023-04-14 19:00:00,30260.936109,30468.408701,29904.138695,30468.408701
bitcoin,2023-04-18 19:00:00,30312.16188,30365.904168,29467.459829,30365.904168
bitcoin,2023-04-22 19:00:00,28833.217501,28833.217501,27300.157129,27861.640663
bitcoin,2023-04-26 19:00:00,27606.578348,28352.191321,27511.635682,28352.191321
bitcoin,2023-04-29 19:00:00,29483.521705,29483.521705,29217.944047,29217.944047
bitcoin,2023-05-02 19:00:00,29362.056214,29362.056214,28125.501156,28654.390133
bitcoin,2023-05-06 19:00:00,28988.320996,29520.322269,28846.461459,28887.741046
bitcoin,2023-05-10 19:00:00,28611.439198,28611.439198,27607.391681,27639.733566
bitcoin,2023-05-14 19:00:00,27024.765729,27024.765729,26787.690396,26911.805273
bitcoin,2023-05-18 19:00:00,27227.793423,27389.971511,26842.952495,26842.952495
bitcoin,2023-05-22 19:00:00,26884.37106,27093.791101,26773.830244,26869.686022
bitcoin,2023-05-26 19:00:00,27222.937747,27222.937747,26338.948947,26717.987554
bitcoin,2023-05-30 19:00:00,26848.23994,28110.313468,26848.23994,27713.908548
bitcoin,2023-06-02 19:00:00,27245.474465,27247.740081,26824.1015,27247.740081
bitcoin,2023-06-06 19:00:00,27066.371329,27315.447587,25792.61609,27216.615565
bitcoin,2023-06-10 19:00:00,26346.244545,26507.909892,25858.122892,25858.122892
bitcoin,2023-06-14 19:00:00,25916.579896,25916.579896,25107.754696,25107.754696
bitcoin,2023-06-18 19:00:00,25564.599633,26501.044442,25564.599633,26333.09253
bitcoin,2023-06-22 19:00:00,26779.387462,30101.764819,26779.387462,29935.632107
bitcoin,2023-06-26 19:00:00,30629.244353,30629.244353,30285.505064,30285.505064
bitcoin,2023-06-29 19:00:00,30693.546356,30693.546356,30083.477245,30466.610457
bitcoin,2023-07-02 19:00:00,30480.781482,30583.6196,30480.781482,30571.887073
bitcoin,2023-07-06 19:00:00,31134.713134,31134.713134,29990.055151,29990.055151
bitcoin,2023-07-10 19:00:00,30315.265402,30394.281146,30169.870657,30394.281146
bitcoin,2023-07-14 19:00:00,30620.814247,31446.014971,30311.827808,30311.827808
bitcoin,2023-07-18 19:00:00,30297.9714,30297.9714,29848.032273,29848.032273
bitcoin,2023-07-22 19:00:00,29919.874838,29919.874838,29710.155936,29710.155936
bitcoin,2023-07-26 19:00:00,30057.956719,30057.956719,29184.901913,29363.672908
bitcoin,2023-07-30 19:00:00,29200.244001,29356.747746,29200.244001,29277.75581
bitcoin,2023-08-02 19:00:00,29233.136366,29537.109747,29146.636271,29146.636271
bitcoin,2023-08-06 19:00:00,29176.150597,29176.150597,29044.204376,29044.204376
bitcoin,2023-08-10 19:00:00,29178.147752,29779.561671,29178.147752,29423.818916
bitcoin,2023-08-14 19:00:00,29396.847971,29412.142275,29284.969714,29400.586804
bitcoin,2023-08-18 19:00:00,29170.490397,29170.490397,26042.838257,26042.838257
bitcoin,2023-08-22 19:00:00,26104.778631,26160.70042,26033.675407,26033.675407
ethereum,2023-02-26 19:00:00,1608.103494,1640.58271,1593.951974,1640.58271
ethereum,2023-02-27 19:00:00,1633.976629,1663.925777,1606.632639,1647.664667
ethereum,2023-03-06 19:00:00,1570.668211,1570.668211,1563.225662,1567.350147
ethereum,2023-03-10 19:00:00,1563.813182,1563.813182,1429.603169,1429.603169
