Criptomoneda,Año,Promedio Mercado,Mínimo Mercado,Máximo Mercado
apecoin,2022,1920389957.4802463,896372138.0326489,6813397144.803411
apecoin,2023,1332834310.7544904,528691371.38594866,2314913756.5738864
axie-infinity,2020,27150226.194119126,7257184.758105823,45761552.268458314
axie-infinity,2021,2854757265.0716577,24957517.075666834,10485977643.364298
axie-infinity,2022,2229941773.85034,660649753.1461095,6837245105.209
axie-infinity,2023,896034532.7136849,543529423.5098044,1409256744.8991797
binancecoin,2018,1102266929.530546,645951230.7893397,1538461617.48646
binancecoin,2019,2974542649.919696,791125231.1182575,5444559979.27476
binancecoin,2020,3175964196.604889,1431388393.079302,5722427540.454511
binancecoin,2021,60154421425.7107,5584591445.479913,110441230385.45178
binancecoin,2022,53797824128.90585,32227038803.825478,89522189019.5565
binancecoin,2023,44403023269.76803,32430114844.88539,54913630927.486694
bitcoin,2018,97183890355.47955,55998515509.38865,126949626755.787
bitcoin,2019,131530190782.74287,59482397752.99235,231104555834.96542
bitcoin,2020,204836852791.95892,91962797384.28253,539438036435.6701
bitcoin,2021,890802567100.3473,545593282215.2498,1278797895528.3608
bitcoin,2022,537560439767.8818,301963847693.52637,904551946917.3206
bitcoin,2023,510494012013.4529,319832024054.6308,610725509598.8464
cardano,2018,2036476423.8137443,861676702.4983927,3342177673.128671
cardano,2019,1722018906.9571924,989191308.3605696,3044379770.128304
cardano,2020,2697484548.7875977,733569243.541392,5977650580.589258
cardano,2021,48101622994.86625,5459442449.830887,95003730487.98029
cardano,2022,21212283310.4315,8562205774.727905,50522872800.3961
cardano,2023,11997526819.854177,8760815157.937347,15952653141.760757
dogecoin,2018,456899635.0966777,240582345.34066147,799471029.3022509
dogecoin,2019,307479489.6364779,217797863.27691796,469938038.54042846
dogecoin,2020,343304269.19456995,183588292.09236538,612762329.8263648
dogecoin,2021,26802941572.86185,707576207.9924628,88794768977.21323
dogecoin,2022,13097929415.792591,7047151688.855815,24545157843.31185
dogecoin,2023,10575285701.97117,8455438988.145142,13367550790.14175
enjincoin,2018,36217639.90916801,19495486.19776719,57894911.06488853
enjincoin,2019,82077553.48335639,21603805.604024407,180866382.3617886
enjincoin,2020,132384195.75340135,39855544.65520301,222891255.42514107
enjincoin,2021,1644685193.1582117,121368588.21452639,4207725664.058432
enjincoin,2022,857274594.5094693,237959325.7658476,2689330254.9429274
enjincoin,2023,359655510.77740437,237192964.5899855,546306637.7489072
ethereum,2018,18841435249.90172,8696897485.61424,30108250592.80309
ethereum,2019,19351039068.315075,10923364917.939417,36033928259.050896
ethereum,2020,34475105175.54856,11956631650.303354,85790178023.44371
ethereum,2021,325578358505.05347,83294083323.20639,571665766496.0859
ethereum,2022,239064698062.88965,120148911164.20312,456852400304.9327
ethereum,2023,210971676774.9647,144712215098.15164,253507799906.4971
floki,2021,0.0,0.0,0.0
floki,2022,96920399.21085966,0.0,367272683.17114395
floki,2023,278500715.5462639,71557860.2676285,557661181.3611921
gala,2020,963348.2146821388,0.0,11563549.845348585
gala,2021,671267421.5549388,7740600.174539501,5417820442.161443
gala,2022,886882723.5718094,122326589.84120324,3492596283.4390497
gala,2023,433977768.4746292,127244082.4950214,751031244.8137742
illuvium,2021,312101175.8567371,5043018.042288533,1173498143.4773617
illuvium,2022,199476493.70932153,53066200.43778762,658588302.2174612
illuvium,2023,203989303.39676026,75513375.36982901,303874161.4138889
immutable-x,2021,993352692.7075336,0.0,1753003768.8390198
immutable-x,2022,343351375.4386775,161565313.5443828,931418316.044802
immutable-x,2023,775102979.7502651,295969739.0171539,1338228864.9260461
internet-computer,2021,7570903910.049145,0.0,18537096879.444103
internet-computer,2022,2464374185.074992,978668523.3490866,6944283494.159306
internet-computer,2023,1796088453.351511,1067465305.4318634,2948434676.869741
ripple,2018,16416241883.843176,10479436626.168451,23189480865.26736
ripple,2019,13067308000.828947,8026650033.613962,20263950769.413776
ripple,2020,11526954998.52846,6028784807.164941,31379229573.72973
ripple,2021,40325956592.52157,10066602632.999481,84389055763.71935
ripple,2022,24992615648.057495,14954017806.197191,42196654317.52713
ripple,2023,24991325826.664738,17060108166.49119,43193317016.13269
solana,2020,58149529.3292004,4171226.2991002905,157231078.23530626
solana,2021,23687016819.807167,84086466.39653847,77427308372.12741
solana,2022,19189009783.381107,3537484124.7943234,55089640249.096664
solana,2023,8291902430.345034,3670345897.629763,11015911503.065817
staked-ether,2020,7277223.173419894,0.0,12333635.441624038
