Criptomoneda,Año,Promedio precio,Mínimo precio,Máximo precio
apecoin,2022,6.670494265280382,2.8453108239116096,23.628971352147655
apecoin,2023,3.6182401309977,1.4369878309285473,6.2852536637212495
axie-infinity,2020,0.49244268772179495,0.13489262621204753,0.8234100250637517
axie-infinity,2021,46.13519689959505,0.45175213767908945,159.7612216423601
axie-infinity,2022,28.111377492392382,5.999913781611312,96.64277345113312
axie-infinity,2023,7.664495860607056,4.703235155077023,12.413062990398917
binancecoin,2018,8.369469204019605,4.470332467334587,11.468079442555544
binancecoin,2019,20.02391080886684,5.477064188101444,38.91793858342014
binancecoin,2020,21.322165725271915,9.400670799774627,38.83756963362207
binancecoin,2021,378.75652211796984,37.907080194787994,675.0989738046136
binancecoin,2022,324.5644435311019,197.37650625175277,531.645840127719
binancecoin,2023,285.77951300651597,210.58828468143162,347.8655893098676
bitcoin,2018,5606.782256594757,3216.6271499079407,7359.462992923027
bitcoin,2019,7371.973626684197,3394.0146529587223,12996.124342788677
bitcoin,2020,11111.837139478537,5032.501351487721,29022.41839530417
bitcoin,2021,47489.12087936695,29352.12679194895,67617.0155448617
bitcoin,2022,28215.21445886058,15742.444335961438,47816.07767640849
bitcoin,2023,26362.42366583698,16615.969318012816,31446.0149710716
cardano,2018,0.0654392251175534,0.02768999985320021,0.1074236565593402
cardano,2019,0.055349300002918815,0.03178175156971633,0.09787657906455512
cardano,2020,0.08670585884960465,0.023715965392713114,0.1928756629935067
cardano,2021,1.5008498004634077,0.17567857930628164,2.96707544958908
cardano,2022,0.643085583543578,0.2443147559531476,1.5892889271039394
cardano,2023,0.3423873042703939,0.24993772427992364,0.4541580633912379
dogecoin,2018,0.0039185533461519794,0.0020493956668170294,0.006883263868683859
dogecoin,2019,0.0025581253685969226,0.0018433339478254964,0.003922182829444712
dogecoin,2020,0.0027368355205211184,0.0014834682898671341,0.004801855191794443
dogecoin,2021,0.20512331182766538,0.0055382718667696925,0.6818416367796407
dogecoin,2022,0.098079181569844,0.0531175932093537,0.18500803830321688
dogecoin,2023,0.07604625770186495,0.06047931826309341,0.09645024889704729
enjincoin,2018,0.042048345719900654,0.022511102360324376,0.0672151258300509
enjincoin,2019,0.0940977470832271,0.025057225931720474,0.2099490065041711
enjincoin,2020,0.14414504483546292,0.04371522289904278,0.24400283762957703
enjincoin,2021,1.760178155101823,0.13188866889742845,4.456510002241104
enjincoin,2022,0.9085696119923847,0.23797938185060866,2.8702405615574618
enjincoin,2023,0.3597038661406104,0.23649791063671113,0.5472582466949514
ethereum,2018,183.51644227960827,83.78596235654511,296.29612763685776
ethereum,2019,181.17273147834226,104.26536439234141,337.3409578098138
ethereum,2020,307.3057784004128,110.5978978308351,752.8559324490188
ethereum,2021,2783.2077279397668,730.1473402196374,4815.004634322234
ethereum,2022,1989.0613809234696,995.2525692707909,3835.3959914939574
ethereum,2023,1753.3683442726144,1200.65921690107,2118.5987891538853
floki,2021,7.765613795033666e-05,1.0627468827130751e-07,0.0003095494339037728
