Criptomoneda,Año,Promedio Volumen,Mínimo Volumen,Máximo Volumen
apecoin,2022,554238732.63423,50197467.12484238,6599176324.388327
apecoin,2023,123550475.02366069,31133846.791591607,509673887.01106125
axie-infinity,2020,12449810.648559945,2744359.084207642,36925902.27672871
axie-infinity,2021,476267451.8020952,4790387.775235834,6275444518.839905
axie-infinity,2022,234782600.44355133,27607660.514506873,1468647722.3455791
axie-infinity,2023,79545050.12430066,13369990.90201063,1107982594.218572
binancecoin,2018,22773633.60948821,7692710.450950106,56969041.77278959
binancecoin,2019,220175893.8886784,16772990.672760751,729707610.6941328
binancecoin,2020,338610001.2849721,135826468.64633995,1204406182.07132
binancecoin,2021,3052768241.462461,481169380.3684995,22103516567.70705
binancecoin,2022,1221917866.2207036,17764481.56858248,5267479590.191646
binancecoin,2023,651303873.0151111,39039403.51465756,2047768477.1444185
bitcoin,2018,3670429179.617176,1464404365.51708,7036065651.078336
bitcoin,2019,19543105070.754673,2261199754.98875,57308255783.65001
bitcoin,2020,31698789234.67688,15569792414.423223,81406687324.35088
bitcoin,2021,46029510927.501595,17235296605.82555,178894068361.35312
bitcoin,2022,27796493435.76423,10169853734.117493,92144963385.0274
bitcoin,2023,20694988823.555058,3355038748.9824667,70714394276.37074
cardano,2018,57336001.177667506,14545306.531592358,237757692.092272
cardano,2019,129896985.48098035,20337416.673156355,671946279.164299
cardano,2020,407638458.69751334,48833556.38398183,2524633061.7922616
cardano,2021,3870236695.0370193,799297957.4044218,17436012662.324448
cardano,2022,858106800.7795193,89086469.11487137,4791090273.44958
cardano,2023,317276849.5636252,105607968.60484432,1399405888.8240273
dogecoin,2018,44921972.09338629,2373730.054709599,285339768.52160573
dogecoin,2019,63559600.45324268,17890712.89256306,297605111.0650309
dogecoin,2020,128510469.7665122,32539590.819854695,1160341959.7393813
dogecoin,2021,4171065645.2433023,211765468.68784878,50960650646.95082
dogecoin,2022,894992982.6498734,158892865.10851607,13935323258.476389
dogecoin,2023,597606717.157734,142130906.25843367,4502654469.60437
enjincoin,2018,2047785.4074555254,229758.29625385356,47697186.5408572
enjincoin,2019,15860155.769500796,230961.62287611864,314735757.10606915
enjincoin,2020,12359929.177866276,3581477.980685258,75542185.78560232
enjincoin,2021,346367340.5693989,12586449.222560395,2794311948.536343
enjincoin,2022,96158495.90708452,6082538.339425524,406940715.1832357
enjincoin,2023,32250174.687810723,6267054.910249594,449439937.6254324
ethereum,2018,1930386264.7120335,977416380.6935779,4690848657.831447
ethereum,2019,7494871873.034598,1433112570.853001,20783128904.669895
ethereum,2020,13022345325.629507,4344879745.807146,74747424441.3974
ethereum,2021,31764793162.746727,11725230819.88359,140906534190.58786
ethereum,2022,14687683306.819178,2443348024.2152143,47571733027.00858
ethereum,2023,9151679963.492296,2179799161.0385365,65211714924.508385
floki,2021,16720634.333516866,68678.01944058316,190176306.05760604
floki,2022,5933072.668365069,931003.1255460882,27794001.515439294
floki,2023,25883129.34288761,1466456.9413958187,364471953.84074813
gala,2020,66455.90373333752,140.0018274216033,570795.4124661456
gala,2021,216204074.2574676,12441.217296093235,6304469382.316181
gala,2022,321871301.41728765,30567724.516380202,3298931018.5034747
gala,2023,242389604.8342698,25637351.428702705,1582974858.1263375
illuvium,2021,26937067.337166164,565722.8990248393,411155370.1016989
illuvium,2022,10466754.103707574,1908693.135694913,82634167.16793162
illuvium,2023,9633246.342982575,1337888.3746553808,153834552.582768
immutable-x,2021,81310501.39012864,23025502.703617334,206215670.16861436
immutable-x,2022,51508607.279548325,2972947.3938980713,356814857.9930611
immutable-x,2023,63453877.89208792,3758516.748657926,855352300.4607286
internet-computer,2021,433816876.853873,96347284.81762642,2513661601.73589
internet-computer,2022,134686993.1119997,10732899.725186065,1251499248.2509563
internet-computer,2023,44705634.17772795,8394899.14441095,368072262.51798123
ripple,2018,735891677.9194946,174306308.69864276,4307403389.008946
ripple,2019,1523121872.4480045,303813845.5360176,6817202849.651052
ripple,2020,2826785679.5580072,907150118.059732,25054631707.694504
ripple,2021,5710899252.695576,1167325757.066883,29325146992.950333
ripple,2022,3172451571.8787622,231622343.95766404,62468131981.56535
ripple,2023,1336285076.978326,254714219.85400298,11251096255.82042
solana,2020,11617612.568383956,548910.1111122454,92672667.43447028
solana,2021,1551786203.0731826,32991393.10011804,16149087501.300968
solana,2022,1358633090.5239391,112713128.3584248,5868071366.150859
solana,2023,591110952.7632852,129666227.92747962,4130184710.826154
staked-ether,2020,76237.14285528538,2319.238431710206,137563.02655658743
staked-ether,2021,7258253.363739653,62.17976120852506,90687276.05586945
staked-ether,2022,32388772.497669116,1563015.9925258006,612888426.1438128
staked-ether,2023,33531401.34311494,1322852.5907157036,834985189.5778962
stepn,2022,536648269.0023516,14504137.760028664,4126177330.2254157
stepn,2023,79140745.28836575,9659790.844775686,931219650.8964763
tether,2018,101044388.81286,32137787.484920904,246203417.96966273
tether,2019,24762552976.63461,72615363.14718933,199423640523.8859
tether,2020,40663608537.898926,14258134177.943882,106352560942.68538
tether,2021,91754433271.45827,32369587800.25921,926767674515.1359
tether,2022,49813118778.9682,11471482054.973747,908986948368.2067
tether,2023,28333798452.672108,6894277527.257222,88711070851.06427
the-sandbox,2020,10833822.95046096,2094053.4325506317,141056015.71059108
the-sandbox,2021,488339855.3744426,3243661.023410367,8705030050.049564
the-sandbox,2022,386373782.868255,46876275.56210812,1419386480.7950203
the-sandbox,2023,150639357.76777303,29293559.980315175,783505692.2810124
usd-coin,2018,26314392.42111644,20254.71225490974,303987287.8741457
usd-coin,2019,1582441866.0630815,4330125.043852222,6655850460.408791
usd-coin,2020,549379865.3705543,215319413.60100597,4962063863.395723
usd-coin,2021,2710625728.782961,1017242929.1513487,10157399997.264395
usd-coin,2022,4735661480.475561,888757989.6118119,110291776337.18643
usd-coin,2023,3863270382.868605,945649386.4785011,21863112794.23339
